a b c d
-0.019 0.001 0.48249352327259276 0.012062338081814821
0.04 0.001 0.4308131845707603 0.01077032961426901
0.077 0.001 0.39585350825778975 0.009896337706444741
0.118 0.001 0.35327043465311386 0.008831760866327847
0.15 0.001 0.3178049716414141 0.007945124291035353
0.178 0.001 0.28425340807103794 0.007106335201775949
0.216 0.001 0.23473389188611005 0.0058683472971527515
0.251 0.001 0.18841443681416772 0.004710360920354192
0.283 0.001 0.1466287829861518 0.0036657195746537955
0.314 0.001 0.10488088481701516 0.0026220221204253788
0.354 0.001 0.044721359549995794 0.001118033988749895
0.369 0.001 0 0
