Jexp,Nexp,Nwithf,pexp,Texp
0.00,0.770,0.110,0.0,0.0
0.25,0.670,0.010,61.6,3.7
0.50,0.720,0.060,123.2,14.6
0.75,1.120,0.460,184.8,32.4
1.00,1.330,0.670,246.4,56.3
1.25,1.629,0.970,308.0,85.7
1.50,2.479,1.819,369.6,119.7
1.75,2.659,1.999,431.2,157.6
2.00,3.049,2.389,492.8,198.9
2.25,3.149,2.489,554.4,243.0
2.50,3.189,2.529,616.0,289.4
2.75,3.029,2.369,677.6,337.7
3.00,2.719,2.059,739.2,387.7
3.25,1.689,1.030,800.8,439.0
3.50,1.100,0.440,862.4,491.5
3.75,1.110,0.450,924.1,544.9
4.00,2.809,2.149,985.7,599.2
4.12,4.089,3.429,1015.2,625.6
4.25,3.259,2.599,1047.3,654.3
4.50,1.000,0.340,1108.9,709.9
4.75,0.360,-0.300,1170.5,766.1
5.00,0.520,-0.140,1232.1,822.8
