U,I
0,-0.007
0.005,0.489
0.0106,0.95
0.0149,1.24
0.02,1.518
0.025,1.722
0.0261,1.761
0.0272,1.794
0.0281,1.822
0.0293,1.854
0.03,1.869
0.0311,1.894
0.0319,1.911
0.033,1.933
0.0343,1.954
0.0349,1.963
0.2534,0.207
0.2543,0.206
0.2606,0.201
0.2616,0.2
0.2636,0.199
0.2665,0.198
0.2941,0.191
0.3047,0.194
0.3229,0.21
0.3467,0.259
0.3606,0.314
0.3754,0.41
0.3871,0.529
0.391,0.581
0.3962,0.662
0.4065,0.877
0.4137,1.076
0.4185,1.246
0.426,1.571
0.4326,1.942
0.4388,2.379
0.4423,2.674
0.4444,2.861
0.4504,3.509
0.4563,4.278
0.4613,5.059
